facility_name,street1,city,postal_code,country,latitude,longitude,phone
Women's Medical Center ,59-17 JUNCTION BOULEVARD,QUEENS,11368,,,,
Rite Aid Pharmacy,71-18  Kissena Boulevard,Queens,11367,,,,
La Clinica de Las Americas,175 NAGLE AVENUE,MANHATTAN,10034,,,,
Rite Aid Pharmacy,1510 Saint Nicholas Avenue,Manhattan,10033,,,,
Duane Reade,1490 MADISON AVE,NEW YORK,10029,,,,
Duane Reade,122 E 42nd St,NEW YORK,10168,,,,
Stop and Shop Pharmacy,134-40 Springfield Blvd.,Springfield Gardens,11413,,,,
Marion Pharmacy,322 East 194th Street,Bronx,10458,,,,
Advantagecare Physicans Medical Office,154 WEST 71 STREET,154 WEST 71 STREET,10023,,,,
Duane Reade,852 2ND AVE,NEW YORK,10017,,,,
Advantagecare Physicans Medical Office,21 EAST 22 STREET,21 EAST 22 STREET,10010,,,,
Walgreens Drug Store,143-60 243rd Street,Queens,11422,,,,
Rite Aid Pharmacy,63-37  108TH Street,Queens,11375,,,,
Live Good Pharmacy,1025 Nostrand Avenue,Brooklyn,11225,,,,
Vital Pharmacy,257 West Kingsbridge Rd.,Bronx,10463,,,,
Duane Reade,250 BEDFORD AVE,BROOKLYN,11249,,,,
Walgreens Drug Store,73-21  Kissena Boulevard,Queens,11367,,,,
Duane Reade,455 W 37TH ST,NEW YORK,10018,,,,
Walgreens Drug Store,55 Westchester Square,Bronx,10461,,,,
Walgreens Drug Store,545 3rd Avenue,Manhattan,10016,,,,
Rite Aid Pharmacy,188 9th Avenue,Manhattan,10011,,,,
Duane Reade,1430 BROADWAY,NEW YORK,10018,,,,
Rite Aid Pharmacy,1540 Grand Concourse,Bronx,10457,,,,
Rite Aid Pharmacy,239 East 198th Street,Bronx,10458,,,,
CVS,5 PENN PLAZA,NEW YORK,10001,,,,
Duane Reade,325 N END AVE,NEW YORK,10282,,,,
Rite Aid Pharmacy,1532 86th Street,Brooklyn,11228,,,,
Esco Drug,687 9th Avenue,Manhattan,10036,,,,
Rite Aid Pharmacy,5224 Fifth Avenue,Brooklyn,11220,,,,
Duane Reade,1517 CORTELYOU RD,BROOKLYN,11226,,,,
Duane Reade,279-283 W 125TH ST,NEW YORK,10027,,,,
Drug Shoppe LLC,2074 8th Avenue,New York,10026,,,,
Walgreens Drug Store,3000 Church Avenue,Brooklyn,11226,,,,
Skyline Pharmacy,2123 2nd Avenue,Manhattan,10029,,,,
Kmart Pharamcy,250 West 34th Street,Manhattan,10001,,,,
Woodhull Medical and Mental Health Center,760 BROADWAY,BROOKLYN,11206,,,,
Kings Pharmacy Park Slope,357 Flatbush Avenue,Brooklyn,11238,,,,
Duane Reade,1646 2ND AVE,NEW YORK,10028,,,,
CVS,2873 RICHMOND AVE,STATEN ISLAND,10314,,,,
Mill Basin Pharmacy,5829 Avenue T,Brooklyn,11234,,,,
Rite Aid Pharmacy,69-62  188th Street,Queens,11365,,,,
Cure Pharmacy ,1025a 3rd Avenue,Manhattan,10065,,,,
CVS,2465 RICHMOND AVE.,STATEN ISLAND,10314,,,,
Duane Reade,866 3RD AVE,NEW YORK,10022,,,,
CVS,636 6TH AVENUE,NEW YORK,10011,,,,
Walgreens Drug Store,3085 East Tremont,Bronx,10461,,,,
Rite Aid Pharmacy,78-14  Linden Boulevard,Queens,11414,,,,
Duane Reade,1550 3RD AVE,NEW YORK,10128,,,,
 Neergaard Pharmacy,454 5th Avenue,Brooklyn,11215,,,,
Roberto Clemente Health Center/Sylvia Del Villard,540 EAST 13 STREET,MANHATTAN,10009,,,,
Graciebrutus Pharmacy,205 East 198th Street,Bronx,10458,,,,
Franks Pharmacy,77-01 37th Avenue,Jackson Heights,11372,,,,
Andy Pharmacy II,1341 St. Nicholas Avenue,Manhattan,10033,,,,
Rite Aid Pharmacy,115-10 Merrick Blvd,Queens,11434,,,,
Rite Aid Pharmacy,1040 St Johns Pl,Brooklyn,11213,,,,
Rite Aid Pharmacy,218-35 Hempstead Avenue,Queens,11429,,,,
Advantagecare Physicans Medical Office,546 EASTERN PARKWAY,546 EASTERN PARKWAY,11225,,,,
Rite Aid Pharmacy,57-16  99TthStreet,Queens,11368,,,,
Rite Aid Pharmacy,61-29  Springfield Blvd,Queens,11364,,,,
Rite Aid Pharmacy,60-26  Woodside Avenue,Queens,11377,,,,
Preferred Pharmacy-Harlem,3 Street 115th Street,Manhattan,10029,,,,
Saldo Drugs ,384 Graham Avenue,Brooklyn,11211,,,,
Green Life Pharmacy,1287 Nostrand Avenue,Brooklyn,11226,,,,
Duane Reade,1467 1ST AVE,NEW YORK,10021,,,,
Rite Aid Pharmacy,4389 White Plains Road,Bronx,10466,,,,
Duane Reade,1627 BROADWAY,NEW YORK,10019,,,,
Duane Reade,322 8TH AVE,NEW YORK,10001,,,,
Duane Reade,678 MCLEAN AVE,YONKERS,10704,,,,
Crown Heights HC *Special Event*,1218 Prospect Place,BROOKLYN,11213,,,,
Duane Reade,1191 2ND AVE,NEW YORK,10065,,,,
Duane Reade,520 KINGS HWY,BROOKLYN,11223,,,,
Walgreens Drug Store,1612 Westchester Avenue,Bronx,10472,,,,
CPW Pharmacy,121-16 Liberty Avenue,Richmond Hill,11419,,,,
CVS,2112 WHITE PLAINS ROAD,BRONX,10462,,,,
Advantagecare Physicans Medical Office,4337 BROADWAY,4337 BROADWAY,10033,,,,
CVS,275 THIRD AVENUE,NEW YORK,10010,,,,
Duane Reade,1251 AVENUE OF THE AMERICAS,NEW YORK,10020,,,,
Park Plaza Pharmacy,1773 University Avenue,Bronx,10453,,,,
Rite Aid Pharmacy,87 Avenue D,Manhattan,10009,,,,
Duane Reade,333 E 102ND ST,NEW YORK,10029,,,,
Duane Reade,1356 LEXINGTON AVE,NEW YORK,10128,,,,
Duane Reade,315 W 23RD ST,NEW YORK,10011,,,,
Duane Reade,5008 5TH AVE,BROOKLYN,11220,,,,
Rite Aid Pharmacy,3590 East Tremont Avenue,Bronx,10465,,,,
CVS,757 3RD AVE.,NEW YORK,10017,,,,
Walgreens Drug Store,1041 Westchester Avenue,Bronx,10459,,,,
Rite Aid Pharmacy,1516 Westchester Avenue,Bronx,10472,,,,
Kmart Pharamcy,1998 Bruckner blvd,Bronx,10473,,,,
Walgreens Drug Store,2325 Flatbush Ave.,Brooklyn,11234,,,,
Duane Reade,300 E 39TH ST,NEW YORK,10016,,,,
Duane Reade,4002 BROADWAY,ASTORIA,11103,,,,
CVS,2320 RALPH AVE.,BROOKLYN,11234,,,,
CVS,1402 SHEEPSHEAD BAY ROAD,BROOKLYN,11235,,,,
Rite Aid Pharmacy,4102 Church Avenue,Brooklyn,11203,,,,
Pelham Pharmacy,2171 White Plains Rd,Bronx,10462,,,,
Rite Aid Pharmacy,102-30 Atlantic Avenue,Queens,11416,,,,
CVS,2690 HYLAN BOULEVARD,STATEN ISLAND,10306,,,,
CVS,1916 WILLIAMSBRIDGE ROAD,BRONX,10461,,,,
Kings Third Avenue Pharmacy,1619 3rd Avenue,Manhattan,10128,,,,
Gristides Pharmacy,101 Clark Street,Brooklyn,11201,,,,
Rite Aid Pharmacy,9302 3rd Avenue,Brooklyn,11209,,,,
Nueva Vida Pharmacy,81-25 37th Avenue,Jackson Heights,11372,,,,
Rite Aid Pharmacy,21B Knolls Crescent,Bronx,10463,,,,
Costco Pharmacy,61-35 Junction Blvd,Long Island City,11374,,,,
Walgreens Drug Store,175-06 Hillside Avenue,Queens,11432,,,,
Mariner's Harbor Houses CHC,2040 FOREST AVENUE,STATEN ISLAND,10303,,,,
Duane Reade,625 8TH AVE,NEW YORK,10018,,,,
Advantagecare Physicans Medical Office,29-15 FAR ROCKAWAY BOULEVARD,29-15 FAR ROCKAWAY BOULEVARD,11691,,,,
Rite Aid Pharmacy,1154 Clarkson Avenue,Brooklyn,11212,,,,
Walgreens,4710 S WESTERN AVE,CHICAGO,60609,,,,
19th Ward Office,10402 S. Western Ave.,Chicago,60643,,,,
Walgreens,3405 S KING DR,CHICAGO,60616,,,,
20th Ward-Whole Foods Family Flu Day,832 W. 63rd St.,Chicago,60621,,,,
Walgreens,711 W NORTH AVE STE 204,CHICAGO,60610,,,,
Walgreens,1926 W 35TH ST,CHICAGO,60609,,,,
Walgreens,912 W BELMONT AVE,CHICAGO,60657,,,,
Walgreens,711 W NORTH AVE STE 204,CHICAGO,60610,,,,
Jewel-Osco 3224,6426 West Irving Park Rd,Chicago,60634,,,,
Jewel-Osco 2502,2550 N. Clybourn Ave,Chicago,60614,,,,
Jewel-Osco 3376,370 N. Des Plaines,Chicago,60661,,,,
Walgreens,757 N MICHIGAN AVE,Chicago,60611,,,,
Walgreens,111 S HALSTED ST,Chicago,60661,,,,
CVS/pharmacy,5360 SOUTH WESTERN AVENUE,Chicago,60609,,,,
CVS/pharmacy,3637 NORTH SOUTHPORT AVENUE,CHICAGO,60613,,,,
CVS/pharmacy,745 WEST 103 ROAD STREET,Chicago,60628,,,,
24th Ward Office,1158 S. Keeler Ave.,Chicago,60624,,,,
35th Ward - William P. Nixon School,2121 N. Keeler Ave.,Chicago,60639,,,,
6th Ward-Meyering Park,7140 S DR MARTIN LUTHER KING JR DR,CHICAGO,60619,,,,
Walgreens,2744 N CALIFORNIA AVE,CHICAGO,60647,,,,
CVS/pharmacy,6200 WEST HIGGINS AVENUE,CHICAGO,60630,,,,
CVS/pharmacy,6150 N BROADWAY ST,Chicago,60660,,,,
CVS/pharmacy,8712 SOUTH STONY ISLAND AVENUE,CHICAGO,60619,,,,
Walgreens,5140 W DIVERSEY AVE,CHICAGO,60639,,,,
CVS/pharmacy,4777 NORTH MILWAUKEE AVENUE,CHICAGO,60630,,,,
CVS/pharmacy,105 SOUTH WABASH AVENUE,CHICAGO,60603,,,,
33rd Ward Office,3001 W. Irving Park Rd.,Chicago,60618,,,,
CVS/pharmacy,208 WEST WASHINGTON,CHICAGO,60606,,,,
Chicago Police Department - 25th District,5555 W. Grand Ave.,Chicago,60639,,,,
Walgreens,7544 S STONY ISLAND AVE,Chicago,60649,,,,
Jewel-Osco 3376,370 N. Des Plaines,Chicago,60661,,,,
Walgreens,5414 S ARCHER AVE,CHICAGO,60638,,,,
Walgreens,5600 W FULLERTON AVE,CHICAGO,60639,,,,
Walgreens,6140 N WESTERN AVE,CHICAGO,60659,,,,
CVS/pharmacy,11 EAST 14TH STREET,CHICAGO HEIGHTS,60411,,,,
Nigerian Progressive Organization,8847 S. Colfax Ave.,Chicago,60617,,,,
Walgreens,11 E 75TH ST,Chicago,60619,,,,
Walgreens,4040 N CICERO AVE,CHICAGO,60641,,,,
10th Ward Office,10500 S. Ewing Ave.,Chicago,60617,,,,
Jewel-Osco 3345,1224 S. Wabash,Chicago,60605,,,,
Walgreens,3424 W BELMONT AVE,CHICAGO,60618,,,,
Walgreens,3045 W 26TH ST,Chicago,60623,,,,
Walgreens,2340 W MADISON ST,CHICAGO,60612,,,,
Walgreens,3000 S HALSTED ST,CHICAGO,60608,,,,
Chicago Police Department - 2nd District,5101 S. Wentworth Ave.,Chicago,60609,,,,
CVS/pharmacy,1819 NORTH HARLEM AVENUE,Chicago,60707,,,,
Walgreens,5401 S WENTWORTH AVE,CHICAGO,60609,,,,
Walgreens,1649 W BELMONT AVE,Chicago,60657,,,,
Walgreens,2301 W IRVING PARK RD,Chicago,60618,,,,
Walgreens,315 W CHICAGO AVE,Chicago,60654,,,,
Walgreens,2011 E 95TH ST,CHICAGO,60617,,,,
Walgreens,10300 S MICHIGAN AVE,CHICAGO,60628,,,,
Walgreens,6121 N BROADWAY,Chicago,60660,,,,
Walgreens,4343 N KEDZIE AVE,CHICAGO,60618,,,,
Walgreens,342 E ILLINOIS ST,Chicago,60611,,,,
28th Ward Office,2602 W. 16th St.,Chicago,60608,,,,
CVS/pharmacy,205 NORTH COLUMBUS DRIVE,Chicago,60601,,,,
Walgreens,7150 W ARCHER AVE,CHICAGO,60638,,,,
Walgreens,4010 W LAWRENCE AVE,CHICAGO,60630,,,,
CVS/pharmacy,2427 WEST CHICAGO AVENUE,CHICAGO,60622,,,,
Walgreens,200 W ADAMS ST,CHICAGO,60606,,,,
CVS/pharmacy,401 WEST ARMITAGE AVENUE,Chicago,60614,,,,
Walgreens,4005 W 26TH ST,CHICAGO,60623,,,,
Walgreens,3222 N MILWAUKEE AVE,Chicago,60618,,,,
CVS/pharmacy,3033 NORTH BROADWAY STREET,CHICAGO,60657,,,,
40th Ward Office,5850 N. Lincoln Ave.,Chicago,60659,,,,
Walgreens,7155 W FOSTER AVE,CHICAGO,60656,,,,
CVS/pharmacy,741 WEST 31ST STREET,CHICAGO,60608,,,,
Jewel-Osco 3721,6107 S. Archer Ave.,Chicago,60638,,,,
Jewel-Osco 3455,4355 North Sheridan,Chicago,60613,,,,
CVS/pharmacy,5205 NORTH BROADWAY STREET,Chicago,60640,,,,
City Hall - 2nd Floor Lobby,121 N. LaSalle St.,Chicago,60602,,,,
Walgreens,2340 W MADISON ST,CHICAGO,60612,,,,
Walgreens,3800 W MADISON ST STE 101,Chicago,60624,,,,
Walgreens,11040 S MICHIGAN AVE,CHICAGO,60628,,,,
Walgreens,7652 W TOUHY AVE,Chicago,60631,,,,
36th Ward Office,6934 W. Diversey Ave.,Chicago,60707,,,,
Walgreens,1614 W 47TH ST,Chicago,60609,,,,
CVS/pharmacy,4051 N LINCOLN AVE,Chicago,60618,,,,
CVS/pharmacy,6315 SOUTH PULASKI ROAD,CHICAGO,60629,,,,
City Hall - 2nd Floor Lobby,121 N. LaSalle St.,Chicago,60602,,,,
Jewel-Osco 3443,5345 Broadway St.,Chicago,60640,,,,
Walgreens,1650 W CHICAGO AVE,CHICAGO,60622,,,,
Walgreens,6330 S KING DR,CHICAGO,60637,,,,
Walgreens,1500 W WILSON AVE,CHICAGO,60640,,,,
44th Ward - 19th District Police Station,850 W. Addison St.,Chicago,60613,,,,
St Michael the Archangel Parish,1936 W 48TH ST,CHICAGO,60609,,,,
33rd Ward Office,3001 W. Irving Park Rd.,Chicago,60618,,,,
46th Ward-Weiss Hospital,4700 N. Marine Drive,Chicago,60640,,,,
Walgreens,2001 N MILWAUKEE AVE,CHICAGO,60647,,,,
Walgreens,650 W 63RD ST,CHICAGO,60621,,,,
Walgreens,5230 N MILWAUKEE AVE,CHICAGO,60630,,,,
Walgreens,6315 S KEDZIE AVE,Chicago,60629,,,,
26th Ward-Mozart Park,2036 N. Avers,Chicago,60647,,,,
CVS/pharmacy,121 WEST KINZIE STREET,CHICAGO,60610,,,,
CVS/pharmacy,401 WEST ARMITAGE AVENUE,CHICAGO,60614,,,,
Walgreens,6016 W 63RD ST,Chicago,60638,,,,
Chicago Police Department-Headquarters,3510 S. Michigan Ave.,Chicago,60653,,,,
Jewel-Osco 3296,7342 Foster Ave,Chicago,60656,,,,
9th Ward - Tuley Park,501 E 90th Place,CHICAGO,60619,,,,
Walgreens,641 N CLARK ST,Chicago,60654,,,,
1st Ward Office,1958 N. Milwaukee Ave.,Chicago,60647,,,,
42nd Ward-FUMC Chicago Temple,77 W. Washington St.,Chicago,60602,,,,
Walgreens,8628 S COTTAGE GROVE AVE,CHICAGO,60619,,,,
Walgreens,5600 W FULLERTON AVE,CHICAGO,60639,,,,
8th Ward Office,8539 S. Cottage Grove Ave.,Chicago,60619,,,,
CVS/pharmacy,2722 NORTH CENTRAL AVENUE,CHICAGO,60639,,,,
CVS/pharmacy,6510 NORTH SHERIDAN ROAD,CHICAGO,60626,,,,
Walgreens,1649 W BELMONT AVE,CHICAGO,60657,,,,
Walgreens,3019 W PETERSON AVE,CHICAGO,60659,,,,
29th Ward Office,6272 W. North Ave.,Chicago,60639,,,,
3rd Ward,5046 S. State St.,Chicago,60609,,,,
Jewel-Osco 3632,3630 N. Southport Ave.,Chicago,60613,,,,
Chicago Police Department-Area South,727 E. 111th St.,Chicago,60628,,,,
MinuteClinic Inside CVS/pharmacy Store # 08699,137 SOUTH STATE STREET,CHICAGO,60603,,,,
Walgreens,4000 W 59TH ST,CHICAGO,60629,,,,
2nd Ward-Columbus Elementary School,1003 N Leavitt St.,Chicago,60622,,,,
Walgreens,4720 N MARINE DR,Chicago,60640,,,,
Walgreens,3000 S HALSTED ST,Chicago,60608,,,,
Walgreens,7111 S WESTERN AVE,Chicago,60636,,,,
Walgreens,3245 N HALSTED ST,CHICAGO,60657,,,,
46th Ward-Weiss Hospital,4646 N. Marine Drive,Chicago,60640,,,,
CVS/pharmacy,2825 WEST DEVON AVENUE,Chicago,60659,,,,
Walgreens,1333 W BELMONT AVE,CHICAGO,60657,,,,
Walgreens,4745 W BELMONT AVE,CHICAGO,60641,,,,
CVS/pharmacy,1714 NORTH SHEFFIELD AVENUE,CHICAGO,60614,,,,
Chicago Police Department-11th District,3153 W. Harrison St.,Chicago,60612,,,,
CVS/pharmacy,6417 WEST HIGGINS AVENUE,Chicago,60656,,,,
CVS/pharmacy,2815 NORTH WESTERN AVENUE,CHICAGO,60618,,,,
Walgreens,300 N MICHIGAN AVE,CHICAGO,60601,,,,
Walgreens,1533 E 67TH ST,CHICAGO,60637,,,,
Walgreens,7150 W ARCHER AVE,CHICAGO,60638,,,,
Walgreens,1001 W BELMONT AVE,CHICAGO,60657,,,,
CVS/pharmacy,3311 NORTH PULASKI ROAD,CHICAGO,60641,,,,
Walgreens,4343 N CENTRAL AVE,CHICAGO,60634,,,,
CVS/pharmacy,101 NORTH CLINTON STREET,Chicago,60661,,,,
Walgreens,2317 N CLARK ST,CHICAGO,60614,,,,
Jewel-Osco 3296,7342 Foster Ave,Chicago,60656,,,,
CVS/pharmacy,5360 SOUTH WESTERN AVENUE,Chicago,60609,,,,
9th Ward - Salem Baptist Church,10909 S. Cottage Grove Ave.,Chicago,60628,,,,
12th Ward-McKinley Park,2210 W. Pershing Rd.,Chicago,60609,,,,
CVS/pharmacy,137 SOUTH STATE STREET,CHICAGO,60603,,,,
CVS/pharmacy,3637 N SOUTHPORT AVE,Chicago,60613,,,,
CVS/pharmacy,6417 WEST HIGGINS AVENUE,Chicago,60656,,,,
CVS/pharmacy,6315 SOUTH PULASKI ROAD,CHICAGO,60629,,,,
Walgreens,200 W ADAMS ST,Chicago,60606,,,,
Walgreens,4005 W 26TH ST,CHICAGO,60623,,,,
MinuteClinic Inside CVS/pharmacy Store # 04189,2828 N. CLARK STREET,CHICAGO,60657,,,,
50th Ward,2949 W. Devon,Chicago,60659,,,,
Walgreens,4817 W FULLERTON AVE,Chicago,60639,,,,
Walgreens,2345 W 103RD ST,CHICAGO,60643,,,,
Walgreens,3358 N WESTERN AVE,Chicago,60618,,,,
3rd Ward-DuSable High School,4934 S. Wabash Ave.,Chicago,60615,,,,
Walgreens,3358 N WESTERN AVE,CHICAGO,60618,,,,
46th Ward-Weiss Medical,4700 N. Marine Drive,Chicago,60640,,,,
Englewood Neighborhood Health Center,641 W 63RD ST,CHICAGO,60621,,,,
CVS/pharmacy,5360 SOUTH WESTERN AVENUE,CHICAGO,60609,,,,
Walgreens,4001 W IRVING PARK RD,CHICAGO,60641,,,,
CVS/pharmacy,6150 NORTH BROADWAY,CHICAGO,60660,,,,
St Michael the Archangel,1936 W. 48th St.,Chicago,60609,,,,
Jewel-Osco 3349,2520 N Narragansett Ave.,Chicago,60639,,,,
CVS/pharmacy,120 SOUTH LASALLE STREET,Chicago,60603,,,,
Walgreens,5222 W MADISON ST,Chicago,60644,,,,
42nd Ward-FUMC Chicago Temple,77 W WASHINGTON ST,CHICAGO,60602,,,,
Greater Lawn WIC,4150 W 55TH ST,Chicago,60632,,,,
Prosser Career Academy H.S,2148 N. Long Ave.,Chicago,60639,,,,
State Senator Antonio Munoz & National Latino Education Institute,2011 W. Pershing Rd.,Chicago,60609,,,,
31st Ward-Regency Inn Banquet,5319 W. Diversey,Chicago,60639,,,,
Gift From God Ministry Church,1818 W. 74th St.,Chicago,60636,,,,
Walgreens,4801 N LINCOLN AVE,CHICAGO,60625,,,,
CVS/pharmacy,175 WEST JACKSON BOULEVARD,CHICAGO,60604,,,,
Walgreens,5874 S ARCHER AVE,CHICAGO,60638,,,,
Walgreens,2440 W NORTH AVE,Chicago,60647,,,,
Walgreens,757 N MICHIGAN AVE,CHICAGO,60611,,,,
CVS/pharmacy,2053 NORTH MILWAUKEE AVENUE,CHICAGO,60647,,,,
Chicago Police Department - 5th District,727 E. 111th St.,Chicago,60628,,,,
CVS/pharmacy,1165 NORTH CLARK STREET,CHICAGO,60610,,,,
45th Ward-Jefferson Park Library,5363 W. Lawrence,Chicago,60630,,,,
Walgreens,7109 S JEFFERY BLVD,Chicago,60649,,,,
MinuteClinic Inside CVS/pharmacy Store # 08753,3637 NORTH SOUTHPORT AVENUE,CHICAGO,60613,,,,
Walgreens,2 E ROOSEVELT RD,CHICAGO,60605,,,,
CVS/pharmacy,4777 NORTH MILWAUKEE AVENUE,CHICAGO,60630,,,,
Walgreens,4225 W ARMITAGE AVE,Chicago,60639,,,,
Walgreens,3110 W ARMITAGE AVE,Chicago,60647,,,,
CVS/pharmacy,1228 E 53RD ST,Chicago,60615,,,,
Walgreens,3424 W BELMONT AVE,Chicago,60618,,,,
Walgreens,5650 W BELMONT AVE,CHICAGO,60634,,,,
CVS/pharmacy,205 N. MICHIGAN AVENUE,CHICAGO,60601,,,,
Walgreens,316 W CERMAK RD,Chicago,60616,,,,
Walgreens,7544 S STONY ISLAND AVE,CHICAGO,60649,,,,
Jewel-Osco 3441,2940 North Ashland Ave,Chicago,60657,,,,
26th Ward Office,2511 W. Division St.,Chicago,60622,,,,
42nd Ward-FUMC Chicago Temple,77 W. Washington St.,Chicago,60602,,,,
Walgreens,11833 S WESTERN AVE,Chicago,60643,,,,
Walgreens,"251 E HURON STREET, SUITE 2B114",CHICAGO,60611,,,,
CVS/pharmacy,344 W HUBBARD ST,Chicago,60654,,,,
29th Ward Office,6272 W. North Ave.,Chicago,60639,,,,
Walgreens,5935 W ADDISON ST,CHICAGO,60634,,,,
22nd Ward-Toman Library,2708 S. Pulaski Rd.,Chicago,60623,,,,
Walgreens,3220 W 111TH ST,CHICAGO,60655,,,,
Walgreens,5036 S COTTAGE GROVE AVE,CHICAGO,60615,,,,
St. Pius V Parish,1919 S. Ashland Ave.,Chicago,60608,,,,
BCBSIL Fall Family Festival,1700 W. 119th St.,Chicago,60643,,,,
Roseland Community WIC,11255 S. Michigan Ave.,Chicago,60628,,,,
Whole Foods,832 W. 63rd St.,Chicago,60621,,,,
Walgreens,933 N STATE ST,CHICAGO,60610,,,,
49th Ward - Chicago Public Library Rogers Park Branch,6907 N. Clark St.,Chicago,60626,,,,
Walgreens,3222 N MILWAUKEE AVE,CHICAGO,60618,,,,
5th Ward Office,2325 E. 71st St.,Chicago,60649,,,,
Walgreens,1554 E 55TH ST,Chicago,60615,,,,
CVS/pharmacy,1550 NORTH KOSTNER AVENUE,CHICAGO,60639,,,,
CVS/pharmacy,3951 W 103RD ST,Chicago,60655,,,,
Walgreens,2744 N CALIFORNIA AVE,CHICAGO,60647,,,,
MinuteClinic Inside CVS/pharmacy Store # 08747,6150 NORTH BROADWAY,CHICAGO,60660,,,,
Walgreens,6016 W 63RD ST,CHICAGO,60638,,,,
Walgreens,3943 W 47TH ST,Chicago,60632,,,,
CVS/pharmacy,1550 NORTH KOSTNER AVENUE,Chicago,60639,,,,
CVS/pharmacy,771 NORTH OGDEN AVENUE,CHICAGO,60622,,,,
Walgreens,3800 W MADISON ST STE 101,CHICAGO,60624,,,,
CVS/pharmacy,641 WEST 63RD STREET,Chicago,60652,,,,
MinuteClinic Inside CVS/pharmacy Store # 08751,4051 NORTH LINCOLN AVENUE,CHICAGO,60618,,,,
City Hall,121 N. LaSalle St.,Chicago,60602,,,,
CVS/pharmacy,4801 NORTH CENTRAL AVENUE,CHICAGO,60630,,,,
Walgreens,5414 S ARCHER AVE,CHICAGO,60638,,,,
CVS/pharmacy,5205 NORTH BROADWAY STREET,CHICAGO,60640,,,,
Walgreens,315 W CHICAGO AVE,CHICAGO,60654,,,,
CVS/pharmacy,11055 SOUTH WESTERN AVENUE,CHICAGO,60643,,,,
Walgreens,3220 W 111TH ST,Chicago,60655,,,,
Walgreens,5230 N MILWAUKEE AVE,CHICAGO,60630,,,,
Hana Center,4300 N. California Ave.,Chicago,60618,,,,
Walgreens,3943 W 47TH ST,CHICAGO,60632,,,,
Walgreens,5435 S KEDZIE AVE,Chicago,60632,,,,
CVS/pharmacy,2053 NORTH MILWAUKEE AVENUE,CHICAGO,60647,,,,
Walgreens,7510 N WESTERN AVE,Chicago,60645,,,,
Walgreens,5650 W BELMONT AVE,CHICAGO,60634,,,,
CVS/pharmacy,3343 WEST MONTROSE AVENUE,Chicago,60618,,,,
CVS/pharmacy,105 SOUTH WABASH AVENUE,Chicago,60603,,,,
Walgreens,1372 N MILWAUKEE AVE,CHICAGO,60622,,,,
Walgreens,3153 W IRVING PARK RD,Chicago,60618,,,,
Jewel-Osco 2500,1340 S. Canal St,Chicago,60607,,,,
48th Ward Office,5533 N. Broadway St.,Chicago,60640,,,,
Walgreens,2440 W NORTH AVE,Chicago,60647,,,,
CVS/pharmacy,741 WEST 31ST STREET,Chicago,60608,,,,
Walgreens,6809 W BELMONT AVE,CHICAGO,60634,,,,
Walgreens,7111 S WESTERN AVE,CHICAGO,60636,,,,
CVS/pharmacy,5205 NORTH BROADWAY STREET,Chicago,60640,,,,
Walgreens,4748 W NORTH AVE,CHICAGO,60639,,,,
5th Ward Office,2325 E. 71st St.,Chicago,60649,,,,
1st Ward Office,2740 W. North Ave.,Chicago,60647,,,,
Walgreens,4010 W LAWRENCE AVE,CHICAGO,60630,,,,
Walgreens,2 North State St,Chicago,60601,,,,
Walgreens,1931 W CERMAK RD,CHICAGO,60608,,,,
CVS/pharmacy,1201 NORTH STATE STREET,CHICAGO,60610,,,,
CVS/pharmacy,101 NORTH CLINTON STREET,CHICAGO,60661,,,,
20th Ward  - Metro Squash,6100 S. Cottage Grove Ave.,Chicago,60637,,,,
Walgreens,1601 N MILWAUKEE AVE,CHICAGO,60647,,,,
Walgreens,6330 S KING DR,CHICAGO,60637,,,,
CVS/pharmacy,120 SOUTH LASALLE STREET,Chicago,60603,,,,
Walgreens,2924 E 92ND ST,Chicago,60617,,,,
CVS/pharmacy,6200 WEST HIGGINS AVENUE,Chicago,60630,,,,
Walgreens,5625 N RIDGE AVE,CHICAGO,60660,,,,
44th Ward-Britton Senior Apartments,501 W. Surf St.,Chicago,60657,,,,
Walgreens,4001 W IRVING PARK RD,Chicago,60641,,,,
CVS/pharmacy,2545 MARTIN LUTHER KING,CHICAGO,60606,,,,
27th Ward Office,"4 N. Western Ave., Unit 1C",Chicago,60612,,,,
Walgreens,7901 S WESTERN AVE,CHICAGO,60620,,,,
Walgreens,7109 S JEFFERY BLVD,Chicago,60649,,,,
Walgreens,3943 W 47TH ST,CHICAGO,60632,,,,
Walgreens,4343 N KEDZIE AVE,CHICAGO,60618,,,,
Walgreens,641 N CLARK ST,CHICAGO,60654,,,,
CVS/pharmacy,2634 SOUTH PULASKI ROAD,Chicago,60623,,,,
CVS/pharmacy,11055 SOUTH WESTERN AVENUE,CHICAGO,60643,,,,
5th Ward Office,2325 E. 71st St.,Chicago,60649,,,,
Jewel-Osco 3092,1655 E. 95th St.,Chicago,60617,,,,
43rd Ward-Margaret Day Blake Senior Center,2140 N. Clark St.,Chicago,60614,,,,
6th Ward Office Community Room,706 E. 79th St.,Chicago,60619,,,,
Walgreens,6310 N NAGLE AVE,CHICAGO,60646,,,,
14th Ward-Polish Highlanders,4808 S. Archer Ave.,Chicago,60632,,,,
Walgreens,953 W IRVING PARK RD,CHICAGO,60613,,,,
CVS/pharmacy,6150 NORTH BROADWAY,Chicago,60660,,,,
Walgreens,79 W MONROE ST,Chicago,60603,,,,
